c5,c119,gemma3_4b_it_triplets,phi4mini_instruct_triplets,gemma3_4b_it_triplets_clean,phi4mini_instruct_triplets_clean
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"<BAGGAGE DOOR, OPENED BY, CLIMBOUT>
<POWER, REDUCED BY, REDUCED POWER>
<STALLED, HAS CAUSE, REDUCED POWER>
<ROLLED, HAS CAUSE, STALLED>
<DIVED INTO OCEAN, HAS CAUSE, STALLED>
<TEST FLIGHT, PART OF, STORAGE>","<CLIMBOUT NOSE BAGGAGE DOOR, OPENED, ON CLIMBOUT NOSE BAGGAGE DOOR>
<REDUCED POWER, CAUSE, STALLED>
<STALLED, CAUSE, ROLLED>
<STALLED, CAUSE, DIVED INTO OCEAN>
<TEST FLIGHT, USED BY, STORAGE>
<TEST FLIGHT, EVENT DISTANCE, ON CLIMBOUT NOSE BAGGAGE DOOR>","<BAGGAGE DOOR, OPENED BY, CLIMBOUT>
<POWER, REDUCED BY, REDUCED POWER>
<STALLED, HAS CAUSE, REDUCED POWER>
<ROLLED, HAS CAUSE, STALLED>
<DIVED INTO OCEAN, HAS CAUSE, STALLED>
<TEST FLIGHT, PART OF, STORAGE>","<CLIMBOUT NOSE BAGGAGE DOOR, OPENED, ON CLIMBOUT NOSE BAGGAGE DOOR>
<REDUCED POWER, CAUSE, STALLED>
<STALLED, CAUSE, ROLLED>
<STALLED, CAUSE, DIVED INTO OCEAN>
<TEST FLIGHT, USED BY, STORAGE>
<TEST FLIGHT, EVENT DISTANCE, ON CLIMBOUT NOSE BAGGAGE DOOR>"
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"<ELEVATOR CONTROL, INSTANCE OF, JAMMED>
<ELEVATOR CONTROL, HAS EFFECT, STICK BOOT NOT FASTENED TO FLOOR>
<ELEVATOR CONTROL, EVENT DISTANCE, LANDED IN A FIELD>
<SHEN HARNESS, PART OF, ELEVATOR CABLE>","<SHEN HARNESS, CAUGHT ON, ELEVATOR CABLE>
<STICK BOOT, NOT FASTENED TO, FLOOR>
<LANDED, LOCATION, FIELD>","<ELEVATOR CONTROL, INSTANCE OF, JAMMED>
<ELEVATOR CONTROL, HAS EFFECT, STICK BOOT NOT FASTENED TO FLOOR>
<ELEVATOR CONTROL, EVENT DISTANCE, LANDED IN A FIELD>
<SHEN HARNESS, PART OF, ELEVATOR CABLE>","<SHEN HARNESS, CAUGHT ON, ELEVATOR CABLE>
<STICK BOOT, NOT FASTENED TO, FLOOR>
<LANDED, LOCATION, FIELD>"
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"<LOST POWER, HAS EFFECT, LANDED ON PRIVATE STRIP>
<LANDED ON PRIVATE STRIP, HAS EFFECT, Nosed over>
<LEFT FUEL CAP LEAKED, HAS CAUSE, Prevented gravity fuel flow>","<LAST FLIGHT, LOST POWER, EN ROUTE>
<LAST FLIGHT, LANDED ON, PRIVATE STRIP>
<LAST FLIGHT, NOSED OVER, FUEL CAP LEAK>
<LAST FLIGHT, PREVENTED GRAVITY FUEL FLOW, FUEL CAP LEAK>","<LOST POWER, HAS EFFECT, LANDED ON PRIVATE STRIP>
<LANDED ON PRIVATE STRIP, HAS EFFECT, Nosed over>
<LEFT FUEL CAP LEAKED, HAS CAUSE, Prevented gravity fuel flow>","<LAST FLIGHT, LOST POWER, EN ROUTE>
<LAST FLIGHT, LANDED ON, PRIVATE STRIP>
<LAST FLIGHT, NOSED OVER, FUEL CAP LEAK>
<LAST FLIGHT, PREVENTED GRAVITY FUEL FLOW, FUEL CAP LEAK>"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"<ACFT DISPATCHER, HAS CAUSE, HARRASSMENT OF PILOT>
<PILOT, HAS EFFECT, FORGOT TO REMOVE TIEDROPE>","<ACFT DISPATCHER, HASSA, PILOT>
<PILOT, FORGOT, TO REMOVE TIEDROPE>","<ACFT DISPATCHER, HAS CAUSE, HARRASSMENT OF PILOT>
<PILOT, HAS EFFECT, FORGOT TO REMOVE TIEDROPE>","<ACFT DISPATCHER, HASSA, PILOT>
<PILOT, FORGOT, TO REMOVE TIEDROPE>"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","<RPM CONTROL, BROUGHT UP TO, FLY POSITION>
<HELICOPTER, LOCATION, HELIPAD>
<TAKEOFF, HAS EFFECT, RPM CONTROL>","<HELICOPTER, LOCATION, HELIPAD>
<RPM CONTROL, USED BY, HELICOPTER>
<HELICOPTER, EVENT DISTANCE, TAKEOFF>","<RPM CONTROL, BROUGHT UP TO, FLY POSITION>
<HELICOPTER, LOCATION, HELIPAD>
<TAKEOFF, HAS EFFECT, RPM CONTROL>","<HELICOPTER, LOCATION, HELIPAD>
<RPM CONTROL, USED BY, HELICOPTER>
<HELICOPTER, EVENT DISTANCE, TAKEOFF>"
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","<COPPER TUBE, USED TO, HOLD AERIAL BANNERS>
<COPPER TUBE, LOCATION, HOUSE>
<OPERATOR, BEING MONITORED, LOCAL>","<COPPER TUBE, USED BY, AERIAL BANNERS>
<COPPER TUBE, EVENT DISTANCE, ROOF OF A HOUSE>","<COPPER TUBE, USED TO, HOLD AERIAL BANNERS>
<COPPER TUBE, LOCATION, HOUSE>
<OPERATOR, BEING MONITORED, LOCAL>","<COPPER TUBE, USED BY, AERIAL BANNERS>
<COPPER TUBE, EVENT DISTANCE, ROOF OF A HOUSE>"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","<MR. KADERA, LOCATED IN, FIELD>
<MR. KADERA, LANDED ON, HIGHWAY 93>
<LANDING EVENT, EVENT DISTANCE, 3 MILES>
<LANDING EVENT, LOCATION, SUNMER, IOWA>","<Mr. Kadera, ATTEMPTED TO LAND IN, FIELD>
<Mr. Kadera, FORCED TO LAND ON, HIGHWAY 93>
<Mr. Kadera, LOCATION, 3 MILES EAST OF SUNMER, IOWA>","<MR. KADERA, LOCATED IN, FIELD>
<MR. KADERA, LANDED ON, HIGHWAY 93>
<LANDING EVENT, EVENT DISTANCE, 3 MILES>
<LANDING EVENT, LOCATION, SUNMER, IOWA>","<Mr. Kadera, ATTEMPTED TO LAND IN, FIELD>
<Mr. Kadera, FORCED TO LAND ON, HIGHWAY 93>
<Mr. Kadera, LOCATION, 3 MILES EAST OF SUNMER, IOWA>"
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","<CIERNIA GLASAIR III, INSTANCE OF, HOMEBUILT>
<CIERNIA GLASAIR III, N153JC,>
<SEPTEMBER 23, 1999, TIME PERIOD, 1900 HOURS PACIFIC DAYLIGHT TIME>","<CIERNIA GLASAIR III, EVENT DISTANCE, 1900 HOURS PACIFIC DAYLIGHT TIME>
<CIERNIA GLASAIR III, TIME PERIOD, SEPTEMBER 23, 1999>","<CIERNIA GLASAIR III, INSTANCE OF, HOMEBUILT>
<CIERNIA GLASAIR III, N153JC,>
<SEPTEMBER 23, 1999, TIME PERIOD, 1900 HOURS PACIFIC DAYLIGHT TIME>","<CIERNIA GLASAIR III, EVENT DISTANCE, 1900 HOURS PACIFIC DAYLIGHT TIME>
<CIERNIA GLASAIR III, TIME PERIOD, SEPTEMBER 23, 1999>"
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"<WOODEN WHEEL CHOCK, PART OF, NOSE BAGGAGE CARGO>
<SHIFTED, HAS CAUSE, JAMMED THE NOSE LANDING GEAR>
<JAMMED THE NOSE LANDING GEAR, EVENT DISTANCE, -5>","<NOSE LANDING GEAR, HAS CAUSE, JAMMED>
<NOSE LANDING GEAR, EVENT DISTANCE, FLIGHT>","<WOODEN WHEEL CHOCK, PART OF, NOSE BAGGAGE CARGO>
<SHIFTED, HAS CAUSE, JAMMED THE NOSE LANDING GEAR>
<JAMMED THE NOSE LANDING GEAR, EVENT DISTANCE, -5>","<NOSE LANDING GEAR, HAS CAUSE, JAMMED>
<NOSE LANDING GEAR, EVENT DISTANCE, FLIGHT>"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","<EXPLOSION, HAS EFFECT, LIFTING LOGS>
<LIFTING LOGS, PART OF, LOGS>
<COMPRESSOR STALL, HAS CAUSE, NR1 ENGINE>
<FAILED RELEASE LOGS, USED BY, SE PROCEDURES>","<EXPLOSION, CAUSE, PITCHED UP>
<EXPLOSION, CAUSE, COMPRESSOR STALL NR1 ENGINE>
<EXPLOSION, CAUSE, FAILED RELEASE LOGS>
<EXPLOSION, CAUSE, USE SE PROCEDURES>","<EXPLOSION, HAS EFFECT, LIFTING LOGS>
<LIFTING LOGS, PART OF, LOGS>
<COMPRESSOR STALL, HAS CAUSE, NR1 ENGINE>
<FAILED RELEASE LOGS, USED BY, SE PROCEDURES>","<EXPLOSION, CAUSE, PITCHED UP>
<EXPLOSION, CAUSE, COMPRESSOR STALL NR1 ENGINE>
<EXPLOSION, CAUSE, FAILED RELEASE LOGS>
<EXPLOSION, CAUSE, USE SE PROCEDURES>"
20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","<SKYWAY AIRLINE FLIGHT, OPERATED BY, BEECH 1900D>
<SKYWAY AIRLINE FLIGHT, TIME PERIOD, FEBRUARY 19, 2000>
<SKYWAY AIRLINE FLIGHT, TIME PERIOD, 1825 EASTERN STANDARD TIME>
<BEECH 1900D, DESIGNATION, N81SK>","<2000, EVENT DISTANCE, February 19, 2000>
<1825, TIME PERIOD, Eastern Standard Time>
<Beech 1900D, USED BY, Skyway Airline Flight>","<SKYWAY AIRLINE FLIGHT, OPERATED BY, BEECH 1900D>
<SKYWAY AIRLINE FLIGHT, TIME PERIOD, FEBRUARY 19, 2000>
<SKYWAY AIRLINE FLIGHT, TIME PERIOD, 1825 EASTERN STANDARD TIME>
<BEECH 1900D, DESIGNATION, N81SK>","<2000, EVENT DISTANCE, February 19, 2000>
<1825, TIME PERIOD, Eastern Standard Time>
<Beech 1900D, USED BY, Skyway Airline Flight>"
19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,"<GROUND LOOPED, INSTANCE OF, Landing>
<TAILWHEEL, FOUND, Jammed>
<TAILWHEEL, LOCATION, Far right>",,"<GROUND LOOPED, INSTANCE OF, Landing>
<TAILWHEEL, FOUND, Jammed>
<TAILWHEEL, LOCATION, Far right>",
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"<ENGINE, HAS CAUSE, INITIAL CLIMBOUT>
<CRASH LANDING, HAS EFFECT, AVOIDING TREES>
<SELECTED FUEL TANK, FOUND, EMPTY>
<TRIP, TIME PERIOD, GET FUEL>","<ENGINE, EVENT DISTANCE, INITIAL CLIMBOUT>
<CRASH, LOCATION, TREES>
<FUEL TANK, STATE, EMPTY>
<TRIP, PURPOSE, GET FUEL>","<ENGINE, HAS CAUSE, INITIAL CLIMBOUT>
<CRASH LANDING, HAS EFFECT, AVOIDING TREES>
<SELECTED FUEL TANK, FOUND, EMPTY>
<TRIP, TIME PERIOD, GET FUEL>","<ENGINE, EVENT DISTANCE, INITIAL CLIMBOUT>
<CRASH, LOCATION, TREES>
<FUEL TANK, STATE, EMPTY>
<TRIP, PURPOSE, GET FUEL>"
19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,"<CRASHED AND BURNED, INSTANCE OF, AIRPLANE>
<CRASHED AND BURNED, EVENT DISTANCE, GRASS RUNWAY>","<CRASHED AND BURNED, EVENT DISTANCE, AFTER DEPARTURE FROM A GRASS RUNWAY>
<CRASHED AND BURNED, LOCATION, GRASS RUNWAY>","<CRASHED AND BURNED, INSTANCE OF, AIRPLANE>
<CRASHED AND BURNED, EVENT DISTANCE, GRASS RUNWAY>","<CRASHED AND BURNED, EVENT DISTANCE, AFTER DEPARTURE FROM A GRASS RUNWAY>
<CRASHED AND BURNED, LOCATION, GRASS RUNWAY>"
19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"<POP ON TAKEOFF ROLL, HAS CAUSE, LOST RUDDER CONTROL>
<LOST RUDDER CONTROL, HAS CAUSE, EXITED RWY INTO CORNFIELD>
<FAILED TO LOCK THE TAILWHEEL, HAS CAUSE, (-23)>","<LONG POP ON TAKEOFF ROLL, HAS CAUSE, LOST RUDDER CONTROL>
<LONG POP ON TAKEOFF ROLL, HAS CAUSE, EXITED RWY INTO CORNFIELD>
<LONG POP ON TAKEOFF ROLL, HAS CAUSE, HAD FAILED TO LOCK THE TAILWHEEL>
<EXITED RWY INTO CORNFIELD, HAS EFFECT, LOST RUDDER CONTROL>
<EXITED RWY INTO CORNFIELD, HAS EFFECT, HAD FAILED TO LOCK THE TAILWHEEL>
<HAD FAILED TO LOCK THE TAILWHEEL, HAS EFFECT, LOST RUDDER CONTROL>","<POP ON TAKEOFF ROLL, HAS CAUSE, LOST RUDDER CONTROL>
<LOST RUDDER CONTROL, HAS CAUSE, EXITED RWY INTO CORNFIELD>
<FAILED TO LOCK THE TAILWHEEL, HAS CAUSE, (-23)>","<LONG POP ON TAKEOFF ROLL, HAS CAUSE, LOST RUDDER CONTROL>
<LONG POP ON TAKEOFF ROLL, HAS CAUSE, EXITED RWY INTO CORNFIELD>
<LONG POP ON TAKEOFF ROLL, HAS CAUSE, HAD FAILED TO LOCK THE TAILWHEEL>
<EXITED RWY INTO CORNFIELD, HAS EFFECT, LOST RUDDER CONTROL>
<EXITED RWY INTO CORNFIELD, HAS EFFECT, HAD FAILED TO LOCK THE TAILWHEEL>
<HAD FAILED TO LOCK THE TAILWHEEL, HAS EFFECT, LOST RUDDER CONTROL>"
19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","<CANOPY, INSTANCE OF, GROUND COLLISION>
<GROUND COLLISION, HAS CAUSE, CANOPY OPEN>
<GROUND COLLISION, TIME PERIOD, CLIMBOUT>
<PILOT ERROR, INFLUENCED BY, CANOPY OPEN>","<CANOPY, CAUSE, UNCONTROLLED GROUND COLLISION>
<CANOPY, APPEARS, PILOT ERROR>
<UNCONTROLLED GROUND COLLISION, NO DEFECTS, REPORTED>","<CANOPY, INSTANCE OF, GROUND COLLISION>
<GROUND COLLISION, HAS CAUSE, CANOPY OPEN>
<GROUND COLLISION, TIME PERIOD, CLIMBOUT>
<PILOT ERROR, INFLUENCED BY, CANOPY OPEN>","<CANOPY, CAUSE, UNCONTROLLED GROUND COLLISION>
<CANOPY, APPEARS, PILOT ERROR>
<UNCONTROLLED GROUND COLLISION, NO DEFECTS, REPORTED>"
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,"<PILOT, USED BY, OIL FILLER CAP>
<OIL FILLER CAP, HAS EFFECT, OIL COMING OUT>
<ENGINE, HAS EFFECT, OIL COMING OUT>
<TAKING OFF, FOLLOWED BY, OIL WAS OBSERVED>
<PILOT, INFLUENCED BY, FAILED>","<PILOT, HAS CAUSE, OIL FILLER CAP NOT SECURE>
<PILOT, HAS CAUSE, OIL COMING OUT OF ENGINE>","<PILOT, USED BY, OIL FILLER CAP>
<OIL FILLER CAP, HAS EFFECT, OIL COMING OUT>
<ENGINE, HAS EFFECT, OIL COMING OUT>
<TAKING OFF, FOLLOWED BY, OIL WAS OBSERVED>
<PILOT, INFLUENCED BY, FAILED>","<PILOT, HAS CAUSE, OIL FILLER CAP NOT SECURE>
<PILOT, HAS CAUSE, OIL COMING OUT OF ENGINE>"
