c5,c119,phi4mini_instruct_triplets,phi4mini_instruct_triplets_clean
19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,"<ENGINE, CAUSE, WATER IN FUEL>
<ENGINE, CAUSE, QUIT ON TAKEOFF>
<GEAR, CAUSE, DAMAGE, PLANE HIT TAXIWAY LIP AFTER LANDING>
<PLANE, CAUSE, DAMAGE, HIT TAXIWAY LIP AFTER LANDING>","<ENGINE, CAUSE, WATER IN FUEL>
<ENGINE, CAUSE, QUIT ON TAKEOFF>
<GEAR, CAUSE, DAMAGE, PLANE HIT TAXIWAY LIP AFTER LANDING>
<PLANE, CAUSE, DAMAGE, HIT TAXIWAY LIP AFTER LANDING>"
19780309015599I,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,"<ENGINE, CONDITION, STOPPED DUE TO VACUUM IN THE TANK>
<PILOT, ACTION, USING A NON-VENTED CAP>
<RIGHT TANK, CONDITION, NOT FUELED DUE TO FUEL LEAK>","<ENGINE, CONDITION, STOPPED DUE TO VACUUM IN THE TANK>
<PILOT, ACTION, USING A NON-VENTED CAP>
<RIGHT TANK, CONDITION, NOT FUELED DUE TO FUEL LEAK>"
19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,"<PLT AWARE OF FULL NOSE DOWN TRIM, 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT>","<PLT AWARE OF FULL NOSE DOWN TRIM, 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT>"
19780507032369I,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ","<FORCED LANDING, CAUSE, OIL LEAK>
<FORCED LANDING, FIND, LOOSE OIL CAP>","<FORCED LANDING, CAUSE, OIL LEAK>
<FORCED LANDING, FIND, LOOSE OIL CAP>"
19780525040389I,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,"<BRKES, CONDITION, INEFFECTIVE>
<RAN, ACTION, THROUGH FENCE>","<BRKES, CONDITION, INEFFECTIVE>
<RAN, ACTION, THROUGH FENCE>"
19780617046219I,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,"<FLIGHT, EVENT, RETURNED DUE TO MAG. FAILURE>
<PILOTS, ACTION, TOOK OFF BEFORE REPAIRS WERE COMPLETED>","<FLIGHT, EVENT, RETURNED DUE TO MAG. FAILURE>
<PILOTS, ACTION, TOOK OFF BEFORE REPAIRS WERE COMPLETED>"
19780520014159A,GUSTING TO 30K.                                                                                                    ,,
19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,"<FAILURE OF 2 TIRES, CAUSE, CLEARED FOR TAKEOFF>","<FAILURE OF 2 TIRES, CAUSE, CLEARED FOR TAKEOFF>"
19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,"<FUEL CAP, STATE, OFF>
<FUEL CAP, AIRCRAFT, OFF>
<ENGINE, STATE, QUIT>
<LANDED, AIRCRAFT, ON FREEWAY>","<FUEL CAP, STATE, OFF>
<FUEL CAP, AIRCRAFT, OFF>
<ENGINE, STATE, QUIT>
<LANDED, AIRCRAFT, ON FREEWAY>"
19780501031459I,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,"<UNSCHEDULED LANDING, CAUSE, OIL COMING FROM ENGINES>
<UNSCHEDULED LANDING, ISSUE, BOTH OIL CAPS NOT LOCKED PROPERLY>","<UNSCHEDULED LANDING, CAUSE, OIL COMING FROM ENGINES>
<UNSCHEDULED LANDING, ISSUE, BOTH OIL CAPS NOT LOCKED PROPERLY>"
19780503031639I,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,"<PILOT, UNABLE TO EXTEND GEAR, FAULTY GEAR ACTUATOR>","<PILOT, UNABLE TO EXTEND GEAR, FAULTY GEAR ACTUATOR>"
19780504031959I,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ","<DOOR, CONDITION, POPPED OPEN>
<PILOT, ACTION, LOST CONTROL>
<TAKEOFF, CONDITION, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR>
<TAKEOFF, RESULT, RAN OFF SIDE OF RUNWAY>","<DOOR, CONDITION, POPPED OPEN>
<PILOT, ACTION, LOST CONTROL>
<TAKEOFF, CONDITION, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR>
<TAKEOFF, RESULT, RAN OFF SIDE OF RUNWAY>"
19780514033439I,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,"<ENGINE FIRE, CAUSE, BIRDS NEST>","<ENGINE FIRE, CAUSE, BIRDS NEST>"
19780518033959I,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,"<ACFT, ACTION, QUIT>
<ACFT, ACTION, LANDED>
<ACFT, CAUSE, ENGINE BACKFIRED>
<ACFT, CAUSE, WATER IN FUEL>","<ACFT, ACTION, QUIT>
<ACFT, ACTION, LANDED>
<ACFT, CAUSE, ENGINE BACKFIRED>
<ACFT, CAUSE, WATER IN FUEL>"
19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,"<EXTENDED, AIRCRAFT, JETWAY>","<EXTENDED, AIRCRAFT, JETWAY>"
19780522035289I,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,"<ACFT'S ENGINE, CONDITION, QUIT>
<FUEL SYSTEM, CONDITION, WATER IN>","<ACFT'S ENGINE, CONDITION, QUIT>
<FUEL SYSTEM, CONDITION, WATER IN>"
19780526040429I,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,"<PILOT, ACTION, PUT GEAR HANDLE IN UP POSITION WHILE TAXIING>
<PILOT, ACTION, TURNED HYDRAULIC ON DURING RUNUP>
<PILOT, ACTION, GEAR RETRACTED>","<PILOT, ACTION, PUT GEAR HANDLE IN UP POSITION WHILE TAXIING>
<PILOT, ACTION, TURNED HYDRAULIC ON DURING RUNUP>
<PILOT, ACTION, GEAR RETRACTED>"
19780528040689I,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","<HOME-BUILT AIRCRAFT, ACTION, WORKED ON>
<HOME-BUILT AIRCRAFT, ACTION, TOOK OFF>
<HOME-BUILT AIRCRAFT, ACTION, WITHOUT CONNECTING AILERON CONTROLS>","<HOME-BUILT AIRCRAFT, ACTION, WORKED ON>
<HOME-BUILT AIRCRAFT, ACTION, TOOK OFF>
<HOME-BUILT AIRCRAFT, ACTION, WITHOUT CONNECTING AILERON CONTROLS>"
19780529040959I,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,"<ACFT, CONDITION, ENGINE SPUTTERED AND QUIT AT CRUISE>
<ACFT, ACTION, LANDED IN MARSHY AREA>
<ACFT, CONDITION, TIPPED UP ON NOSE>
<ACFT, CONDITION, WATER IN FUEL>","<ACFT, CONDITION, ENGINE SPUTTERED AND QUIT AT CRUISE>
<ACFT, ACTION, LANDED IN MARSHY AREA>
<ACFT, CONDITION, TIPPED UP ON NOSE>
<ACFT, CONDITION, WATER IN FUEL>"
19780515023299A,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,"<CABLE, CAUGHT ON, L SKID>","<CABLE, CAUGHT ON, L SKID>"
19780603041599I,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ","<FLOAT PLANE, CONDITION, SANK>
<FLOAT PLANE, CAUSE, WATER IN FLOATS, BALL COVERS GONE>","<FLOAT PLANE, CONDITION, SANK>
<FLOAT PLANE, CAUSE, WATER IN FLOATS, BALL COVERS GONE>"
19780603041629I,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,"<FLOAT STRUT, CONDITION, COLLAPSED DURING TAKEOFF RUN>
<FLOAT STRUT, HISTORY, DAMAGED FROM PREVIOUS HARD LANDING>
<FLOAT STRUT, CONNECTION, WIRED TO A BRACE BY THE PILOT>","<FLOAT STRUT, CONDITION, COLLAPSED DURING TAKEOFF RUN>
<FLOAT STRUT, HISTORY, DAMAGED FROM PREVIOUS HARD LANDING>
<FLOAT STRUT, CONNECTION, WIRED TO A BRACE BY THE PILOT>"
19780610045289I,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,"<FUEL TANK DRAIN VALVE, CONDITION, LEFT PARTIALLY OPEN>
<FUEL TANK DRAIN VALVE, LOCATION, SPRING LOADED TANK>
<FUEL TANK DRAIN VALVE, CAUSE, SPRAY HELICOPTER RAN OUT OF FUEL>","<FUEL TANK DRAIN VALVE, CONDITION, LEFT PARTIALLY OPEN>
<FUEL TANK DRAIN VALVE, LOCATION, SPRING LOADED TANK>
<FUEL TANK DRAIN VALVE, CAUSE, SPRAY HELICOPTER RAN OUT OF FUEL>"
19780613045599I,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.                                                                       ,"<ENGINE QUIT, CAUSE, WATER IN THE FUEL SYSTEM>","<ENGINE QUIT, CAUSE, WATER IN THE FUEL SYSTEM>"
19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,"<ACORNS, AFFECTED PART, CARB AIR BOX ASSEMBLY>","<ACORNS, AFFECTED PART, CARB AIR BOX ASSEMBLY>"
19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,"<FLIGHT, CONDITION, LOW POWER>
<FLIGHT, CAUSE, CARBURETOR HEAT WAS PARTIALLY OPEN>
<FLIGHT, CAUSE, OVER RICH MIXTURE>","<FLIGHT, CONDITION, LOW POWER>
<FLIGHT, CAUSE, CARBURETOR HEAT WAS PARTIALLY OPEN>
<FLIGHT, CAUSE, OVER RICH MIXTURE>"
19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","<NOSE GEAR, CONDITION, COULD NOT BE FULLY EXTENDED>
<NOSE GEAR, CONDITION, COLLAPSED ON TOUCHDOWN>
<NOSE GEAR DOORS, CONDITION, HAD BEEN LEFT UNHOOKED, JAMMED>","<NOSE GEAR, CONDITION, COULD NOT BE FULLY EXTENDED>
<NOSE GEAR, CONDITION, COLLAPSED ON TOUCHDOWN>
<NOSE GEAR DOORS, CONDITION, HAD BEEN LEFT UNHOOKED, JAMMED>"
19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,"<PILOT, ACTION, RETURNED DUE TO CONTROL PROBLEMS>
<PILOT, ISSUE, INBOARD END OF AILERON PUSH ROD NOT CONNECTED>","<PILOT, ACTION, RETURNED DUE TO CONTROL PROBLEMS>
<PILOT, ISSUE, INBOARD END OF AILERON PUSH ROD NOT CONNECTED>"
19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,"<GLIDER WHEEL BRACKET, CAUSE, ROPE Caught On>","<GLIDER WHEEL BRACKET, CAUSE, ROPE Caught On>"
19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,"<PLT, OIL PR DROPPED TO ZERO, ZERO>
<PLT, ENG, SHUT DN>
<PLT, WING, HIT TREE, TREE>
<PLT, WING, NOT SECURED, NOT SECURED>","<PLT, OIL PR DROPPED TO ZERO, ZERO>
<PLT, ENG, SHUT DN>
<PLT, WING, HIT TREE, TREE>
<PLT, WING, NOT SECURED, NOT SECURED>"
19780623018469A,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","<LOSS OF POWER, CAUSE, LOSE BATTERY POST>
<LOSS OF POWER, CAUSE, LOSS OF ALTERNATOR EXCITING CURRENT>","<LOSS OF POWER, CAUSE, LOSE BATTERY POST>
<LOSS OF POWER, CAUSE, LOSS OF ALTERNATOR EXCITING CURRENT>"
19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,"<ACFT N42807, EVENT, BECAME AIRBORNE AFTER TKOF ABORTED>","<ACFT N42807, EVENT, BECAME AIRBORNE AFTER TKOF ABORTED>"
19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,"<FLIGHT, ACTION, TOOK OFF>
<FLIGHT, CONDITION, REAR CABIN ENTRY DOOR OPEN>
<FLIGHT, CONDITION, REAR CABIN ENTRY DOOR CLOSED IN FLIGHT>","<FLIGHT, ACTION, TOOK OFF>
<FLIGHT, CONDITION, REAR CABIN ENTRY DOOR OPEN>
<FLIGHT, CONDITION, REAR CABIN ENTRY DOOR CLOSED IN FLIGHT>"
19780607010749A,FULL NOSE DOWN TRIM.                                                                                               ,"<NOSE TRIM, FULL NOSE DOWN TRIM>","<NOSE TRIM, FULL NOSE DOWN TRIM>"
19780607016509A,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ","<TKOF, CONDITION, FROM TRAILER, NO LOAD>
<TKOF, SKID TIEDOWN, NOT REMOVED, R SKID>","<TKOF, CONDITION, FROM TRAILER, NO LOAD>
<TKOF, SKID TIEDOWN, NOT REMOVED, R SKID>"
19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,"<PILOT, EVENT DISTANCE, LANDED ON BEACH>","<PILOT, EVENT DISTANCE, LANDED ON BEACH>"
19780623036419I,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,"<PILOT, HAS EFFECT, LANDED AFTER NOTING OIL ON WINDSHIELD>
<PILOT, HAS EFFECT, OIL CAP WAS LOOSE>","<PILOT, HAS EFFECT, LANDED AFTER NOTING OIL ON WINDSHIELD>
<PILOT, HAS EFFECT, OIL CAP WAS LOOSE>"
19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,"<PILOT, HAS EFFECT, STRUCK WIRES>
<ENGINE, STOPPED, VENT STOPPED UP BY MUD DAUBERS>","<PILOT, HAS EFFECT, STRUCK WIRES>
<ENGINE, STOPPED, VENT STOPPED UP BY MUD DAUBERS>"
19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,"<ENGINE, QUIT, AT 250 FEET ON CLIMBOUT>
<ENGINE, HAS EFFECT, WATER AND OTHER FOREIGN MATERIAL IN GASCOLATOR BOWL>","<ENGINE, QUIT, AT 250 FEET ON CLIMBOUT>
<ENGINE, HAS EFFECT, WATER AND OTHER FOREIGN MATERIAL IN GASCOLATOR BOWL>"
19780625035779I,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,"<ENGINE, HAS EFFECT, FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING>
<ENGINE, EVENT DISTANCE, SOON AFTER TAKEOFF>","<ENGINE, HAS EFFECT, FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING>
<ENGINE, EVENT DISTANCE, SOON AFTER TAKEOFF>"
19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,"<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>
<NEWLY PURCHASED AIRPLANE, LOCATION, STORED OUTSIDE>","<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>
<NEWLY PURCHASED AIRPLANE, LOCATION, STORED OUTSIDE>"
19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,"<MUD DOBBER(WASP)NEST, LOCATED IN, FUEL VENT LINE>","<MUD DOBBER(WASP)NEST, LOCATED IN, FUEL VENT LINE>"
19780712023399A,NO NARRATIVE.                                                                                                      ,,
19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,,
19780820049069I,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,"<LOSS OF ENGINE POWER AFTER TAKEOFF, CAUSED, LANDING STRAIGHT AHEAD IN OAT FIELD>
<LANDING STRAIGHT AHEAD IN OAT FIELD, HAS EFFECT, WATER IN FUEL>","<LOSS OF ENGINE POWER AFTER TAKEOFF, CAUSED, LANDING STRAIGHT AHEAD IN OAT FIELD>
<LANDING STRAIGHT AHEAD IN OAT FIELD, HAS EFFECT, WATER IN FUEL>"
19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,"<PLT, HAS EFFECT, MOVED MIXTURE CONTROL TO CUT OFF POSITION>","<PLT, HAS EFFECT, MOVED MIXTURE CONTROL TO CUT OFF POSITION>"
19780704042039I,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ","<PILOT, INOPERATIVE RADIO, DEPARTED WITH>
<PILOT, UNABLE TO FIND DESTINATION, THEN FOUND AN AIRPORT>
<PILOT, NEARLY OUT OF FUEL, FOUND AN AIRPORT>","<PILOT, INOPERATIVE RADIO, DEPARTED WITH>
<PILOT, UNABLE TO FIND DESTINATION, THEN FOUND AN AIRPORT>
<PILOT, NEARLY OUT OF FUEL, FOUND AN AIRPORT>"
19780822026439A,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,"<ACFT, MAINTENED BY, MAINT. SEAT RETAINERS MISSING>","<ACFT, MAINTENED BY, MAINT. SEAT RETAINERS MISSING>"
19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","<NOSE GEAR, DID NOT CENTER DUE TO, INFLATION AND CAM ADJUSTMENT>
<NOSE GEAR, DID NOT CENTER DUE TO, AIRCRAFT VEERED LEFT DURING TAKEOFF>","<NOSE GEAR, DID NOT CENTER DUE TO, INFLATION AND CAM ADJUSTMENT>
<NOSE GEAR, DID NOT CENTER DUE TO, AIRCRAFT VEERED LEFT DURING TAKEOFF>"
19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,,
19780725039589I,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,"<PILOT, USED BY, 55 GAL DRUM>
<PILOT, CAUSE, ENGINE QUIT>
<ENGINE, HAS EFFECT, QUIT ON TAKEOFF>
<ENGINE, HAS CAUSE, WATER IN THE FUEL>","<PILOT, USED BY, 55 GAL DRUM>
<PILOT, CAUSE, ENGINE QUIT>
<ENGINE, HAS EFFECT, QUIT ON TAKEOFF>
<ENGINE, HAS CAUSE, WATER IN THE FUEL>"
19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,"<STUDENT PILOT, LOST POWER, MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT>
<STUDENT PILOT, LOST POWER, OVERSHOT ON AIRPORT LANDING>","<STUDENT PILOT, LOST POWER, MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT>
<STUDENT PILOT, LOST POWER, OVERSHOT ON AIRPORT LANDING>"
19780723038809I,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,"<STUDENT PILOT, HAS EFFECT, RAN OUT OF FUEL>
<STUDENT PILOT, LIKELY CAUSED BY, FUEL DRAIN RUNNING AND NOT DETECTED>","<STUDENT PILOT, HAS EFFECT, RAN OUT OF FUEL>
<STUDENT PILOT, LIKELY CAUSED BY, FUEL DRAIN RUNNING AND NOT DETECTED>"
19780808049579I,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,"<FLIGHT, HAS EFFECT, PILOT FAILED TO SECURE OIL STICK>","<FLIGHT, HAS EFFECT, PILOT FAILED TO SECURE OIL STICK>"
19780808049829I,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,,
19780809049919I,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ","<LEFT GEAR, HAS EFFECT, COLLAPSED ON ROLL OUT>
<LEFT GEAR, MAINTAINED BY, HYDRAULIC SYSTEM>
<HYDRAULIC SYSTEM, HAS CAUSE, LOW ON FLUID>","<LEFT GEAR, HAS EFFECT, COLLAPSED ON ROLL OUT>
<LEFT GEAR, MAINTAINED BY, HYDRAULIC SYSTEM>
<HYDRAULIC SYSTEM, HAS CAUSE, LOW ON FLUID>"
19780811037539I,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,"<ENGINE QUIT, CAUSED, FORCED LANDING>
<ENGINE QUIT, HAS EFFECT, DRAINED WATER FROM FUEL TANK>","<ENGINE QUIT, CAUSED, FORCED LANDING>
<ENGINE QUIT, HAS EFFECT, DRAINED WATER FROM FUEL TANK>"
19780814037299I,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.                                                      ,"<GEAR ACTUATOR SWITCH, FOUND FAULTY, GEAR RETRACTOR>","<GEAR ACTUATOR SWITCH, FOUND FAULTY, GEAR RETRACTOR>"
19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,"<15 MINUTES AFTER TAKEOFF, EVENT DISTANCE, LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION>","<15 MINUTES AFTER TAKEOFF, EVENT DISTANCE, LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION>"
19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ","<FLIGHT, EVENT DISTANCE, AFTER LANDING, COWLING STRUCK PROP>
<COWLING, HAS EFFECT, BROKE INTO PIECES>","<FLIGHT, EVENT DISTANCE, AFTER LANDING, COWLING STRUCK PROP>
<COWLING, HAS EFFECT, BROKE INTO PIECES>"
19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,"<NOSE GEAR, HAS EFFECT, JAMMED>
<NOSE GEAR STRUT, HAS CAUSE, DEFLATED>","<NOSE GEAR, HAS EFFECT, JAMMED>
<NOSE GEAR STRUT, HAS CAUSE, DEFLATED>"
19780904017739I,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,"<HELICOPTER, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>
<HELICOPTER, USED BY, JET FUEL>","<HELICOPTER, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>
<HELICOPTER, USED BY, JET FUEL>"
19780907018599I,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,"<WING FLOATS, HAS EFFECT, NOSE GAR DOOR LINKAGE BROKEN>
<NOSE GAR DOOR, HAS EFFECT, SHARP TURN>","<WING FLOATS, HAS EFFECT, NOSE GAR DOOR LINKAGE BROKEN>
<NOSE GAR DOOR, HAS EFFECT, SHARP TURN>"
19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.","<EXPLOSION, HAS EFFECT, PILOT MISTOOK FOR BACKFIRE>
<BEGAN FLIGHT, FOLLOWED BY, EXPLOSION HEARD DURING ENGINE START>
<BEGAN FLIGHT, EVENT DISTANCE, LATER, EXPLOSION HEARD DURING ENGINE START>
<BEGAN FLIGHT, LOCATION, EXHAUST TUNNELS>","<EXPLOSION, HAS EFFECT, PILOT MISTOOK FOR BACKFIRE>
<BEGAN FLIGHT, FOLLOWED BY, EXPLOSION HEARD DURING ENGINE START>
<BEGAN FLIGHT, EVENT DISTANCE, LATER, EXPLOSION HEARD DURING ENGINE START>
<BEGAN FLIGHT, LOCATION, EXHAUST TUNNELS>"
19781018032569I,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,"<PILOT, EVENT DISTANCE, UNABLE TO GET THE NOSE WHEEL DOWN>
<PILOT, LOCATION, WHEEL WELL>
<TOW BAR, LOCATION, WHEEL WELL>","<PILOT, EVENT DISTANCE, UNABLE TO GET THE NOSE WHEEL DOWN>
<PILOT, LOCATION, WHEEL WELL>
<TOW BAR, LOCATION, WHEEL WELL>"
19781102023549I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING AFTER POWER LOSS, HAS EFFECT, FOUND WATER IN FUEL>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>","<FORCED LANDING AFTER POWER LOSS, HAS EFFECT, FOUND WATER IN FUEL>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>"
19781102023729I,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,"<AT NIGHT, AIRCRAFT, STRUCK DITCH>
<TAXIING, AIRCRAFT, STRUCK DITCH>
<WEAK BATTERY, CAUSE, GENERATOR FAILURE>","<AT NIGHT, AIRCRAFT, STRUCK DITCH>
<TAXIING, AIRCRAFT, STRUCK DITCH>
<WEAK BATTERY, CAUSE, GENERATOR FAILURE>"
